mascot,seed,data_mascot,data_article,data_date,data_views
Uga,3,Uga,Uga_(mascot),2025-09-25,216
Uga,3,Uga,Uga_(mascot),2025-09-26,263
Uga,3,Uga,Uga_(mascot),2025-09-27,715
Uga,3,Uga,Uga_(mascot),2025-09-28,1053
Uga,3,Uga,Uga_(mascot),2025-09-29,420
Uga,3,Uga,Uga_(mascot),2025-09-30,332
Uga,3,Uga,Uga_(mascot),2025-10-01,195
Uga,3,Uga,Uga_(mascot),2025-10-02,190
Uga,3,Uga,Uga_(mascot),2025-10-03,226
Uga,3,Uga,Uga_(mascot),2025-10-04,676
Uga,3,Uga,Uga_(mascot),2025-10-05,372
Uga,3,Uga,Uga_(mascot),2025-10-06,192
Uga,3,Uga,Uga_(mascot),2025-10-07,220
Uga,3,Uga,Uga_(mascot),2025-10-08,168
Uga,3,Uga,Uga_(mascot),2025-10-09,168
Uga,3,Uga,Uga_(mascot),2025-10-10,201
Uga,3,Uga,Uga_(mascot),2025-10-11,563
Uga,3,Uga,Uga_(mascot),2025-10-12,614
Uga,3,Uga,Uga_(mascot),2025-10-13,284
Uga,3,Uga,Uga_(mascot),2025-10-14,211
Uga,3,Uga,Uga_(mascot),2025-10-15,230
Uga,3,Uga,Uga_(mascot),2025-10-16,190
Uga,3,Uga,Uga_(mascot),2025-10-17,197
Uga,3,Uga,Uga_(mascot),2025-10-18,2666
Uga,3,Uga,Uga_(mascot),2025-10-19,682
Uga,3,Uga,Uga_(mascot),2025-10-20,277
Uga,3,Uga,Uga_(mascot),2025-10-21,223
Uga,3,Uga,Uga_(mascot),2025-10-22,219
Uga,3,Uga,Uga_(mascot),2025-10-23,203
Uga,3,Uga,Uga_(mascot),2025-10-24,228
Uga,3,Uga,Uga_(mascot),2025-10-25,304
Uga,3,Uga,Uga_(mascot),2025-10-26,270
Uga,3,Uga,Uga_(mascot),2025-10-27,173
Uga,3,Uga,Uga_(mascot),2025-10-28,179
Uga,3,Uga,Uga_(mascot),2025-10-29,217
Uga,3,Uga,Uga_(mascot),2025-10-30,250
Uga,3,Uga,Uga_(mascot),2025-10-31,195
Uga,3,Uga,Uga_(mascot),2025-11-01,630
Uga,3,Uga,Uga_(mascot),2025-11-02,288
Uga,3,Uga,Uga_(mascot),2025-11-03,192
Uga,3,Uga,Uga_(mascot),2025-11-04,146
Uga,3,Uga,Uga_(mascot),2025-11-05,159
Uga,3,Uga,Uga_(mascot),2025-11-06,178
Uga,3,Uga,Uga_(mascot),2025-11-07,207
Uga,3,Uga,Uga_(mascot),2025-11-08,713
Uga,3,Uga,Uga_(mascot),2025-11-09,303
Uga,3,Uga,Uga_(mascot),2025-11-10,204
Uga,3,Uga,Uga_(mascot),2025-11-11,161
Uga,3,Uga,Uga_(mascot),2025-11-12,195
Uga,3,Uga,Uga_(mascot),2025-11-13,160
Uga,3,Uga,Uga_(mascot),2025-11-14,252
Uga,3,Uga,Uga_(mascot),2025-11-15,360
